Rule,IF,THEN y =
1,Clump Thickness is Low and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Low,+13.9081*Clump Thickness +93.4724*Uniformity of Cell Size -244.4898*Uniformity of Cell Shape -257.1678
2,Clump Thickness is Low and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Medium,-38.1752*Clump Thickness +73.2715*Uniformity of Cell Size -480.7137*Uniformity of Cell Shape +501.1366
3,Clump Thickness is Low and Uniformity of Cell Size is Low and Uniformity of Cell Shape is High,-59.2017*Clump Thickness -34.8459*Uniformity of Cell Size +58.0832*Uniformity of Cell Shape -72.7984
4,Clump Thickness is Low and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Low,+9.2194*Clump Thickness +102.0106*Uniformity of Cell Size -13.9256*Uniformity of Cell Shape -227.1928
5,Clump Thickness is Low and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Medium,-38.6579*Clump Thickness +290.7088*Uniformity of Cell Size -77.0573*Uniformity of Cell Shape -164.1244
6,Clump Thickness is Low and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is High,+8.4644*Clump Thickness -125.5544*Uniformity of Cell Size +38.0536*Uniformity of Cell Shape +71.6082
7,Clump Thickness is Low and Uniformity of Cell Size is High and Uniformity of Cell Shape is Low,-48.4643*Clump Thickness -143.1638*Uniformity of Cell Size -105.7094*Uniformity of Cell Shape -3.9523
8,Clump Thickness is Low and Uniformity of Cell Size is High and Uniformity of Cell Shape is Medium,-169.9562*Clump Thickness -183.6673*Uniformity of Cell Size -163.9704*Uniformity of Cell Shape +5.2168
9,Clump Thickness is Low and Uniformity of Cell Size is High and Uniformity of Cell Shape is High,-169.7983*Clump Thickness +255.0808*Uniformity of Cell Size -164.1335*Uniformity of Cell Shape -184.8496
10,Clump Thickness is Medium and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Low,+25.0709*Clump Thickness +1.6254*Uniformity of Cell Size +124.9234*Uniformity of Cell Shape +205.5343
11,Clump Thickness is Medium and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Medium,-91.1604*Clump Thickness +143.9520*Uniformity of Cell Size +135.2665*Uniformity of Cell Shape -54.7964
12,Clump Thickness is Medium and Uniformity of Cell Size is Low and Uniformity of Cell Shape is High,-178.2090*Clump Thickness -266.9559*Uniformity of Cell Size +136.9173*Uniformity of Cell Shape +156.9642
13,Clump Thickness is Medium and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Low,-27.0932*Clump Thickness +83.9211*Uniformity of Cell Size -74.1621*Uniformity of Cell Shape -138.8011
14,Clump Thickness is Medium and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Medium,+81.5296*Clump Thickness -26.8743*Uniformity of Cell Size -75.1937*Uniformity of Cell Shape +11.5850
15,Clump Thickness is Medium and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is High,-158.2442*Clump Thickness +143.3069*Uniformity of Cell Size -88.0920*Uniformity of Cell Shape +141.7891
16,Clump Thickness is Medium and Uniformity of Cell Size is High and Uniformity of Cell Shape is Low,-96.4765*Clump Thickness +69.9938*Uniformity of Cell Size -31.6292*Uniformity of Cell Shape +62.0738
17,Clump Thickness is Medium and Uniformity of Cell Size is High and Uniformity of Cell Shape is Medium,-104.6132*Clump Thickness +49.8169*Uniformity of Cell Size +26.9927*Uniformity of Cell Shape +11.5801
18,Clump Thickness is Medium and Uniformity of Cell Size is High and Uniformity of Cell Shape is High,-28.2890*Clump Thickness +12.5377*Uniformity of Cell Size -28.1609*Uniformity of Cell Shape +41.3784
19,Clump Thickness is High and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Low,-39.0695*Clump Thickness +41.5620*Uniformity of Cell Size -192.9286*Uniformity of Cell Shape -251.8960
20,Clump Thickness is High and Uniformity of Cell Size is Low and Uniformity of Cell Shape is Medium,-8.4888*Clump Thickness -229.2690*Uniformity of Cell Size -221.7039*Uniformity of Cell Shape +180.5096
21,Clump Thickness is High and Uniformity of Cell Size is Low and Uniformity of Cell Shape is High,+191.6070*Clump Thickness +200.1649*Uniformity of Cell Size -55.8176*Uniformity of Cell Shape -163.9469
22,Clump Thickness is High and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Low,+63.6584*Clump Thickness -29.4062*Uniformity of Cell Size -24.5062*Uniformity of Cell Shape -67.9886
23,Clump Thickness is High and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is Medium,-42.6252*Clump Thickness -104.6215*Uniformity of Cell Size +15.4814*Uniformity of Cell Shape +187.2473
24,Clump Thickness is High and Uniformity of Cell Size is Medium and Uniformity of Cell Shape is High,-89.8407*Clump Thickness -29.7596*Uniformity of Cell Size +31.1156*Uniformity of Cell Shape +197.0323
25,Clump Thickness is High and Uniformity of Cell Size is High and Uniformity of Cell Shape is Low,+29.9336*Clump Thickness +1.7620*Uniformity of Cell Size +66.1084*Uniformity of Cell Shape -35.6304
26,Clump Thickness is High and Uniformity of Cell Size is High and Uniformity of Cell Shape is Medium,+45.2733*Clump Thickness -64.9000*Uniformity of Cell Size +18.3927*Uniformity of Cell Shape +97.8326
27,Clump Thickness is High and Uniformity of Cell Size is High and Uniformity of Cell Shape is High,-7.9557*Clump Thickness +9.2414*Uniformity of Cell Size +15.9311*Uniformity of Cell Shape -32.8624
